sampleTimeStamp.seconds;sampleTimeStamp.microseconds;lat;lon;speed;accel_x;accel_y;accel_z
90066822;4583;37.719117948;1.956593037;0.06206783;-0.0520667;-0.0213955;-0.06909257
90066822;54564;37.719117987;1.956592899;0.0616566;0.0388273;0.0807152;-0.0496209
90066822;104549;37.719118025;1.956592762;0.06096036;0.00042123;-0.028714;0.002632076
90066822;154554;37.719118064;1.956592626;0.06111784;0.0570567;0.0330966;0.0477305
90066822;204569;37.719118103;1.95659249;0.06015556;-0.0299872;-0.0405175;-0.04213658
90066822;254540;37.719118133;1.956592346;0.05955559;0.0578943;0.0528362;0.02918805
90066822;304529;37.719118145;1.956592181;0.0587715;0.0210833;-0.0662587;0.02816875
90066822;354564;37.719118157;1.956592016;0.05850986;0.0174745;0.0491748;-0.01096064
90066822;404547;37.719118168;1.956591852;0.05772781;0.0908629;-0.0552473;0.0549414
90066822;454842;37.71911818;1.956591689;0.05770266;-0.057315;0.0710498;-0.1144467
90066822;504576;37.719118191;1.956591528;0.05554937;0.142732;-0.0586542;0.1529247
90066822;554545;37.719118202;1.956591366;0.05682448;-0.0735975;0.0354081;-0.1542145
90066822;604540;37.719118213;1.956591206;0.055547;0.08656;-0.0439573;0.1309296
90066822;654540;37.719118224;1.956591046;0.05636919;-0.0610962;0.0119785;-0.098457
90066822;704539;37.719118234;1.956590888;0.05354315;0.0919961;-0.00969661;0.117989
90066822;754565;37.719118244;1.956590735;0.03746066;0.579202;-0.0207705;0.1280877
90066822;804604;37.71911825;1.956590603;0.01138574;0.48389;-0.00807144;0.1414597
90066822;854534;37.719118252;1.956590492;0.01748762;0.556501;0.0433084;0.1940536
90066822;904556;37.719118249;1.956590405;0.04868817;0.734354;0.057492;0.1162824
90066822;954532;37.719118242;1.956590344;0.0832094;0.689343;0.00300318;-0.02085673
90066823;4619;37.719118229;1.956590312;0.117906;0.643961;0.0538019;-0.1512419
90066823;54581;37.719118212;1.956590309;0.1562839;0.985848;-0.0191281;0.154811
90066823;104609;37.719118188;1.956590336;0.1919458;0.562318;-0.0193858;-0.3142563
90066823;154616;37.71911816;1.956590393;0.2311299;0.956686;0.103387;-0.01846001
90066823;204639;37.719118126;1.956590483;0.271004;0.830919;-0.0688618;0.1402939
90066823;254570;37.719118088;1.956590618;0.3103373;0.704681;0.221824;-0.2924243
90066823;304599;37.719118054;1.956590821;0.3557651;1.10806;-0.157259;0.387551
90066823;354606;37.719118014;1.956591058;0.3972099;0.794441;0.151922;-0.02915095
90066823;404575;37.719117967;1.956591331;0.4455919;0.979274;-0.0670228;-0.005806192
90066823;454942;37.719117913;1.956591644;0.496228;1.05166;-0.0428629;0.1585168
90066823;504573;37.719117851;1.956591999;0.5514573;1.15582;0.027676;0.1728065
90066823;554579;37.719117782;1.9565924;0.6104648;1.23017;0.0809767;-0.02626727
90066823;604597;37.719117703;1.95659285;0.6726544;1.30604;0.05024;0.06051505
90066823;654602;37.719117616;1.956593351;0.7374529;1.31752;0.0380775;-0.03021942
90066823;704544;37.719117519;1.956593905;0.8057526;1.34392;-0.0290032;0.01416391
90066823;754593;37.719117412;1.956594514;0.8764173;1.39553;-0.0502345;0.0104117
90066823;804660;37.719117295;1.95659518;0.9484075;1.42734;-0.0156737;0.01894214
90066823;854581;37.719117167;1.956595904;1.022696;1.47376;0.00121262;0.1273992
90066823;904578;37.719117029;1.956596689;1.098332;1.51701;-0.00981151;0.1593355
90066823;954607;37.71911688;1.956597534;1.175;1.55676;0.0115128;0.1232151
90066824;4631;37.71911672;1.956598441;1.252755;1.58549;0.0566925;0.03535028
90066824;54592;37.719116549;1.956599412;1.333081;1.63019;0.0439902;0.008253057
90066824;104597;37.719116366;1.956600447;1.415065;1.67053;0.0158942;0.1861152
90066824;154668;37.71911617;1.956601547;1.498994;1.73893;0.0602239;0.1945309
90066824;204610;37.719115962;1.956602716;1.585792;1.72671;0.0308425;0.04808619
90066824;254589;37.719115742;1.956603961;1.674019;1.80672;0.0276705;0.05809142
90066824;304601;37.71911551;1.956605293;1.766938;1.88266;0.0547894;0.04830544
90066824;354663;37.719115264;1.9566067;1.862196;1.87394;-0.014678;0.1084272
90066824;404613;37.719115003;1.956608184;1.96019;1.91197;-0.066395;0.0834792
90066824;454892;37.71911473;1.956609745;2.057932;1.99316;0.0129392;0.08844897
90066824;504668;37.719114442;1.956611385;2.155137;1.87481;0.077026;0.08707802
